Name,Pretrained,Segments,Clip Length,Top-1,Hashtag,Train Command,Train Log
resnet18_v1b_kinetics400 [3]_,ImageNet,7,1,65.5,46d5a985,`shell script <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/action_recognition/kinetics400/resnet18_v1b_kinetics400_tsn.sh>`_,`log <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/action_recognition/kinetics400/resnet18_v1b_kinetics400_tsn.log>`_
resnet34_v1b_kinetics400 [3]_,ImageNet,7,1,69.1,8a8d0d8d,`shell script <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/action_recognition/kinetics400/resnet34_v1b_kinetics400_tsn.sh>`_,`log <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/action_recognition/kinetics400/resnet34_v1b_kinetics400_tsn.log>`_
resnet50_v1b_kinetics400 [3]_,ImageNet,7,1,69.9,cc757e5c,`shell script <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/action_recognition/kinetics400/resnet50_v1b_kinetics400_tsn.sh>`_,`log <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/action_recognition/kinetics400/resnet50_v1b_kinetics400_tsn.log>`_
resnet101_v1b_kinetics400 [3]_,ImageNet,7,1,71.3,5bb6098e,`shell script <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/action_recognition/kinetics400/resnet101_v1b_kinetics400_tsn.sh>`_,`log <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/action_recognition/kinetics400/resnet101_v1b_kinetics400_tsn.log>`_
resnet152_v1b_kinetics400 [3]_,ImageNet,7,1,71.5,9bc70c66,`shell script <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/action_recognition/kinetics400/resnet152_v1b_kinetics400_tsn.sh>`_,`log <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/action_recognition/kinetics400/resnet152_v1b_kinetics400_tsn.log>`_
r2plus1d_v1_resnet18_kinetics400 [6]_,Scratch,1,16 (32/2),70.8,5a14d1f9,`shell script <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/action_recognition/kinetics400/r2plus1d_resnet18_kinetics400.sh>`_,`log <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/action_recognition/kinetics400/r2plus1d_resnet18_kinetics400.log>`_
r2plus1d_v1_resnet34_kinetics400 [6]_,Scratch,1,16 (32/2),71.6,de2e592b,`shell script <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/action_recognition/kinetics400/r2plus1d_resnet34_kinetics400.sh>`_,`log <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/action_recognition/kinetics400/r2plus1d_resnet34_kinetics400.log>`_
r2plus1d_v1_resnet50_kinetics400 [6]_,Scratch,1,16 (32/2),73.9,deaefb14,`shell script <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/action_recognition/kinetics400/r2plus1d_resnet50_kinetics400.sh>`_,`log <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/action_recognition/kinetics400/r2plus1d_resnet50_kinetics400.log>`_
r2plus1d_v2_resnet152_kinetics400 [6]_,Scratch,1,16 (32/2),,,,
i3d_resnet50_v1_kinetics400 [4]_,ImageNet,1,32 (64/2),74,568a722e,`shell script <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/action_recognition/kinetics400/i3d_resnet50_v1_kinetics400.sh>`_,`log <https://raw.githubusercontent.com/dmlc/web-data/master/gluoncv/logs/action_recognition/kinetics400/i3d_resnet50_v1_kinetics400.log>`_
